,fl_date,mkt_carrier,mkt_carrier_fl_num,origin,dest,predicted_delay
268,2020-01-01,WN,3407,PHX,MCO,56.075556157944185
269,2020-01-01,AA,682,PHX,MCO,55.02315940105303
270,2020-01-01,AA,602,PHX,MCO,18.85182730690854
271,2020-01-01,AA,411,PHX,MCO,16.766907426212704
272,2020-01-01,AA,417,PHX,MCO,18.26970525957182
297,2020-01-01,DL,999,SEA,MCO,3.8907846735552893
298,2020-01-01,AS,16,SEA,MCO,1.2291163075940184
299,2020-01-01,AS,38,SEA,MCO,6.409598719385245
300,2020-01-01,UA,2237,SFO,MCO,2.4870846259447346
301,2020-01-01,AS,1302,SFO,MCO,3.8628643650943224
302,2020-01-01,UA,292,SFO,MCO,2.0668155179200465
303,2020-01-01,UA,234,SFO,MCO,5.998184745211973
329,2020-01-01,UA,2244,ORD,MCO,2.2184538506564273
330,2020-01-01,UA,2173,ORD,MCO,1.2187629890037162
331,2020-01-01,UA,1966,ORD,MCO,9.227820541855442
332,2020-01-01,AA,1121,ORD,MCO,2.4861421674103537
333,2020-01-01,NK,927,ORD,MCO,5.304141270657831
334,2020-01-01,NK,929,ORD,MCO,3.2288010236029567
342,2020-01-01,F9,1157,ORD,MCO,-1.0585263888223997
343,2020-01-01,AA,2529,ORD,MCO,0.04633287990957822
344,2020-01-01,AA,2398,ORD,MCO,1.9667859842091486
345,2020-01-01,AA,2411,ORD,MCO,1.7884799700893512
346,2020-01-01,UA,848,ORD,MCO,4.46633665185821
347,2020-01-01,UA,776,ORD,MCO,5.376097361500847
348,2020-01-01,UA,622,ORD,MCO,2.6597881030683435
349,2020-01-01,UA,598,ORD,MCO,2.215997377166857
350,2020-01-01,UA,206,ORD,MCO,2.8048445421889823
351,2020-01-01,AA,307,LGA,MCO,4.400632116629942
352,2020-01-01,NK,423,LGA,MCO,9.195629194130355
354,2020-01-01,DL,925,LGA,MCO,2.6561538258557693
355,2020-01-01,DL,945,LGA,MCO,2.115579601544226
356,2020-01-01,DL,1097,LGA,MCO,5.923281747094294
358,2020-01-01,DL,1514,LGA,MCO,1.61840989153217
360,2020-01-01,DL,1573,LGA,MCO,2.1746418378329606
361,2020-01-01,DL,1603,LGA,MCO,6.132575046053264
362,2020-01-01,DL,2181,LGA,MCO,3.3177043163891566
363,2020-01-01,B6,1099,LGA,MCO,-5.125597633477048
366,2020-01-01,F9,1111,LGA,MCO,-0.4639663543058618
367,2020-01-01,B6,199,LGA,MCO,0.5048103583866898
369,2020-01-01,B6,299,LGA,MCO,0.8765709216108979
